cat_id;name
7056;Master M4 Jiu-Jitsu Men -69 kg
17079;Master M4 Jiu-Jitsu Men -85 kg
7058;Master M4 Jiu-Jitsu Men -85 kg
17080;Master M4 Jiu-Jitsu Men -94 kg
7059;Master M4 Jiu-Jitsu Men -94 kg
7071;Master M4 Jiu-Jitsu Men -94 kg
7066;Master M4 Jiu-Jitsu Men p94 kg
5658;Master MX Jiu-Jitsu Women p70 kg
5667;Master MX Ju-Jitsu Fighting Men p94 kg
5679;Master MX Ju-Jitsu Fighting Women -70 kg
5680;Master MX Ju-Jitsu Fighting Women p70 kg
17077;MasterM 4 Jiu-Jitsu Men -69 kg
17220;Masters Fighting Men -69 kg
17165;Adults Para Duo Mixed
17164;Adults Para Jiu-Jitsu Men
17271;Adults Para Jiu-Jitsu Men Heavyweight
17269;Adults Para Jiu-Jitsu Men Lightweight
17270;Adults Para Jiu-Jitsu Men Middleweight
17163;Adults Para Jiu-Jitsu Women
17267;Adults Para Jiu-Jitsu Women 1
17268;Adults Para Jiu-Jitsu Women 2
16337;Adults Para Ju-Jitsu
4205;U10 Duo Men
4207;U10 Duo Mixed
14473;U10 Duo Mixed
16733;U10 Fighting Men -24 kg
16000;U10 Fighting Men -24 kg
16734;U10 Fighting Men -27 kg
4175;U10 Fighting Men -27 kg
4175111;U10 Fighting Men p27 kg
16001;U10 Fighting Men -27 kg
16735;U10 Fighting Men -30 kg
16002;U10 Fighting Men -30 kg
16736;U10 Fighting Men -34 kg
16003;U10 Fighting Men -34 kg
16737;U10 Fighting Men -38 kg
16738;U10 Fighting Men -42 kg
16004;U10 Fighting Men -42 kg
16731;U10 Fighting Men p42 kg
760;U10 Fighting Men p42 kg
16726;U10 Fighting Women -25 kg
16005;U10 Fighting Women -25 kg
16727;U10 Fighting Women -28 kg
4954;U10 Fighting Women -28 kg
16006;U10 Fighting Women -28 kg
16007;U10 Fighting Women -32 kg
16729;U10 Fighting Women -36 kg
16723;U10 Fighting Women p40 kg
783;U10 Fighting Women p40 kg
4189;U10 Jiu-Jitsu Men -21 kg
4190;U10 Jiu-Jitsu Men -24 kg
4191;U10 Jiu-Jitsu Men -27 kg
4192;U10 Jiu-Jitsu Men -30 kg
4193;U10 Jiu-Jitsu Men -34 kg
